,order_id,categoria,categoria_final
1238,31c8528678f80f4491b0e2634ae8940e,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1239,31c97b9baf5fa7ec99a32d2e0f000937,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1240,31ce2b3f4c3fcc387d79024119a62f51,['AUTOMOTIVO'],AUTOMOTIVO
1241,31dc5103a73f31b15f42c3a5367efcf0,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1242,31e20f393d978aab31a2c05963f156a3,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1243,31ead8e6ffdcc849b1a720ff40d5b724,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1244,31ee3947c87114eb0673d72864775bf3,"['LIVROS, MUSICA E PAPELARIA']","LIVROS, MUSICA E PAPELARIA"
1245,31f280f556b8d9944ab746adcfcc7d83,['MODA E BELEZA'],MODA E BELEZA
1246,31f64c63fe5b7363cb0ba4cda8110f44,['AUTOMOTIVO'],AUTOMOTIVO
1247,320ed62040e9d12e3d7cf4795e2b7df3,['MODA E BELEZA'],MODA E BELEZA
1248,320fb5aed4e43d6dfbf53c4f2c5f70f1,['ARTES E DECORACAO'],ARTES E DECORACAO
1249,3218aff04047889f8c6eaafbbcb4ea4e,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1250,32227aa032d4d26f76e2d1b47fa3014f,['CASA E CONFORTO'],CASA E CONFORTO
1251,3224f9000ebffb83e1c48590824ba567,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1252,3233701bc7c9824c3d7d3e474cc7addc,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1253,3237462ff9a798ff748565335fd86d85,['MODA E BELEZA'],MODA E BELEZA
1254,323a708130dd958865650c8917116819,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1255,323dc5a41f87be5d3e726a2cd303e6ea,['CASA E CONFORTO'],CASA E CONFORTO
1256,324bba1a05579faca9bea05049eda757,['MODA E BELEZA'],MODA E BELEZA
1257,32733fc014b67ef70fa6039dd8c6ba82,['ARTES E DECORACAO'],ARTES E DECORACAO
1258,3275736da1234f55d52bdf09d86b93bc,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1259,327e9810cdacade85a92b9228ab04d1a,['CASA E CONFORTO'],CASA E CONFORTO
1260,327eb42fa668b532239f44713415a37a,['BEBES'],BEBES
1261,327eeec43bd2166ab6b6e0839ec11e99,['AUTOMOTIVO'],AUTOMOTIVO
1262,32805b94a882eabc129b1d2fd5bd2dfa,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1263,328ae377ef041759aacefa4eee149cdc,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1264,32a1deec544b7ad8e44ba2e87dfae1a9,['MODA E BELEZA'],MODA E BELEZA
1265,32b25718a224529a972d40f00f06299d,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1266,32bcd8b7a5501464ffa9586eb4794f53,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1267,32cd8c1de0b106ac12c8bac666e9e1fc,['MODA E BELEZA'],MODA E BELEZA
1268,32df72b9f8dee31b9b3b8b8e31f2ba1d,['CASA E CONFORTO'],CASA E CONFORTO
1269,32e76b791f3833aebe9064d2c09dc1c5,['BEBES'],BEBES
1270,32f0e397d36f01e44c8c257ceaecf508,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1271,32f7089f715424548bd5307fded896d3,['CASA E CONFORTO'],CASA E CONFORTO
1272,32fa6763db15359ea4f0f07ae6021ee0,['MODA E BELEZA'],MODA E BELEZA
1273,32fd10a6af41f9d4fe5e11b25a0788df,['CASA E CONFORTO'],CASA E CONFORTO
1274,32fef9bb0f0402350b640eb6f13dbe09,['MODA E BELEZA'],MODA E BELEZA
1275,3305840d006ff4ecbf347e2c1a38d698,['MODA E BELEZA'],MODA E BELEZA
1276,3310a2bd8c292776c39ea3fa6cb47447,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1277,3322f81bd149a446356f03c9803665cf,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1278,33238b56832a1ff5396fff8bd2a44ede,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1279,33299417d8206e70805c48ec081eeaf1,['CASA E CONFORTO'],CASA E CONFORTO
1280,333949e8d3532d52be513adc226bc7a5,['CASA E CONFORTO'],CASA E CONFORTO
1281,333977327b5c548879a21a3b1fc87c48,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1282,33401c04efca8f6e33ee1cc1eaa8e32a,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1283,3341c1471465b4198ac0c139659da90f,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1284,3348fa7940562350a8d19cf788f0187b,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1285,334fcd4953d5e5b64f124a0ba7ecb317,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1286,3354a9e699cdd99dae33906e55a8ca17,['CASA E CONFORTO'],CASA E CONFORTO
